Name,Description,Unlock,In Game Secret Number,link
Magdalene,Unlocked a new character.,Have 7 or more Red Heart Containers at one time,1,/wiki/Magdalene
Cain,Unlocked a new character.,Hold 55 Coins at one time,2,/wiki/Cain
Judas,Unlocked a new character.,Defeat Satan,3,/wiki/Judas
The Womb,Chapter 4 - The Womb unlocked.,Defeat Mom,4,/wiki/Womb
The Harbingers,The horsemen are loose.,Defeat Mom,5,/wiki/The_Harbingers
A Cube of Meat,Unlocked a new item. (Also unlocks the Ball of Bandages),Defeat Mom,6,/wiki/Cube_of_Meat
The Book of Revelations,Unlocked a new item.,Defeat a Harbinger,7,/wiki/Book_of_Revelations
A Noose,Unlocked a new item.,Defeat Mom's Heart 3 times,8,/wiki/Transcendence
The Nail,Unlocked a new item.,Complete the Boss Rush as Azazel,9,/wiki/The_Nail
A Quarter,Unlocked a new item.,Defeat Mom's Heart 8 times,10,/wiki/A_Quarter
A Fetus in a Jar,Unlocked a new item.,Defeat Mom's Heart 9 times,11,/wiki/Dr._Fetus
A Small Rock,Unlocked a new item.,Destroy 100 Tinted Rocks,12,/wiki/The_Small_Rock
Monstro's Tooth,Unlocked a new item.,Beat Chapter 1,13,/wiki/Monstro%27s_Tooth
Lil' Chubby,Unlocked a new item.,Beat Chapter 2,14,/wiki/Little_Chubby
Loki's Horns,Unlocked a new item.,Defeat Lokii,15,/wiki/Loki%27s_Horns
Something From The Future,New boss in the basement!,Beat Basement 40 times,16,/wiki/Steven
Something Cute,New boss in the caves!,Beat Chapter 2 30 times,17,/wiki/C.H.A.D.
Something Sticky,New boss in the depths!,Beat Chapter 3 20 times,18,/wiki/Gish
A Bandage,Unlocked a new item.,Make a Super Bandage Girl by picking up 4 copies of Ball of Bandages in one run; see Unlocking Super Meat Boy & Super Bandage Girl,19,/wiki/Super_Bandage
A Cross,Unlocked a new item.,Defeat Isaac as Magdalene,20,/wiki/The_Relic
A Bag of Pennies,Unlocked a new item.,Defeat Isaac as Cain,21,/wiki/Sack_of_Pennies
The Book of Sin,Unlocked a new item.,Defeat all 7 Deadly Sins,22,/wiki/The_Book_of_Sin
Little Gish,Unlocked a new item.,Defeat Gish,23,/wiki/Little_Gish
Little Steven,Unlocked a new item.,Defeat Steven,24,/wiki/Little_Steven
Little C.H.A.D.,Unlocked a new item.,Defeat C.H.A.D.,25,/wiki/Little_C.H.A.D.
A Gamekid,Unlocked a new item.,Visit 10 Arcades,26,/wiki/The_Gamekid
A Halo,Unlocked a new item.,"Defeat Mom, Mom's Heart, or It Lives! using The Bible",27,/wiki/The_Halo
Mr. Mega,Unlocked a new item.,Destroy 10 Tinted Rocks,28,/wiki/Mr._Mega
The D6,Isaac now holds the D6!,Defeat Isaac as ???,29,/wiki/The_D6
The Scissors,Unlocked a new item.,Die 100 times,30,/wiki/Scissors
The Parasite,Unlocked a new item.,"Pick up any 2 of the following items in a single run: Bob's Rotten Head, Dead Cat, Cricket's Head, and Tammy's Head ( Any 2 items that have the 'dead' item tag)",31,/wiki/The_Parasite
???,Unlocked a new character.,Defeat Mom's Heart 10 times,32,/wiki/%3F%3F%3F_(Character)
Everything Is Terrible!!!,The game just got harder!,Defeat Mom's Heart 5 times,33,/wiki/It_Lives
It Lives!,Your future's past waits.,Defeat Mom's Heart 11 times,34,
Mom's Contact,Unlocked a new item.,Obtain three Yes Mother? items in one run,35,/wiki/Mom%27s_Contacts
The Necronomicon,Unlocked a new item.,Use XIII - Death 4 times,36,/wiki/The_Necronomicon
Basement Boy,Beat basement without taking damage.,Beat Chapter 1 without taking damage,37,
Spelunker Boy,Beat caves without taking damage.,Beat Chapter 2 without taking damage,38,
Dark Boy,Beat depths without taking damage.,Beat Chapter 3 without taking damage,39,
Mama's Boy,Beat womb without taking damage.,Beat Chapter 4 without taking damage,40,
Golden God!,You are the best!!,Defeat ??? and The Lamb,41,
Eve,Unlocked a new character.,Don't pick up any Hearts for 2 floors in a row,42,/wiki/Eve
Mom's Knife,Unlocked a new item.,Defeat Satan as Isaac,43,/wiki/Mom%27s_Knife
The Razor,Unlocked a new item.,Defeat Satan as Eve,44,/wiki/Razor_Blade
Guardian Angel,Unlocked a new item.,Defeat Satan as Magdalene,45,/wiki/Guardian_Angel
A Bag of Bombs,Unlocked a new item.,Defeat Satan as Cain,46,/wiki/Bomb_Bag
Demon Baby,Unlocked a new item.,Defeat The Lamb as Azazel,47,/wiki/Demon_Baby
